objectid,title,date,date_is_approximate,description,location,latitude,longitude,subject,source,identifier,donor,format_original,type,format,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
cities27,"Murray, Idaho. White building in center, Louisville Hotel.",1886,,,Murray,47.627012,-115.85848,aerial views; towns; mountains,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-107-1,Ruth V. Sellars,8x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities27.jpg,image,/objects/cities27.jpg,/objects/small/cities27_sm.jpg,/objects/thumbs/cities27_th.jpg
cities28,"Panoramic view of Murray, Idaho.",1906,yes,,Murray,47.627012,-115.85848,aerial views; towns; mountains,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-107-2,,7x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities28.jpg,image,/objects/cities28.jpg,/objects/small/cities28_sm.jpg,/objects/thumbs/cities28_th.jpg
cities31,"Elk Prairie, Idaho.",1909,yes,"Caption on photo 'The new town of 'Elk Prairie' on the Chicago and Milwaukee Railroad, 15 miles above St. Joe, Idaho.'",Elk Prairie,47.315615,-116.363196,cabins,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-110-1a,"Dixie Ehrenreich, Living Farm Museum",4x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities31.jpg,image,/objects/cities31.jpg,/objects/small/cities31_sm.jpg,/objects/thumbs/cities31_th.jpg
cities32,"Panoramic view of Viola, Idaho.",1885,yes,,Viola,46.84148,-117.024484,panoramas; towns,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-111-1a,"Dixie Ehrenreich, Living Farm Museum",8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities32.jpg,image,/objects/cities32.jpg,/objects/small/cities32_sm.jpg,/objects/thumbs/cities32_th.jpg
cities33,"Panoramic view of Viola, Idaho looking south..",1914,,,Viola,46.84148,-117.024484,panoramas; main streets,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-111-1b,"Dixie Ehrenreich, Living Farm Museum",8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities33.jpg,image,/objects/cities33.jpg,/objects/small/cities33_sm.jpg,/objects/thumbs/cities33_th.jpg
cities35,"Lamb Bros. General Machinist and Blacksmithing. Harrison, Idaho.",1913,,Jonathan Lamb working in the blacksmith shop,Harrison,47.455166,-116.784866,interiors; smithies; blacksmith,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-115-4b,,3.5x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities35.jpg,image,/objects/cities35.jpg,/objects/small/cities35_sm.jpg,/objects/thumbs/cities35_th.jpg
cities36,"Knox, Idaho.",1905,,"Located 24 miles northeast of Cascade, this site was established by man named Knox, who had a way station on the old Boise-Thunder Mountain Trail",Knox,44.682194,-115.679855,cabins,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-113-1a,David L. Whelchel,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities36.jpg,image,/objects/cities36.jpg,/objects/small/cities36_sm.jpg,/objects/thumbs/cities36_th.jpg
cities37,"Crowd of people in street with band in foreground. DeLamar Mercantile in background. DeLamar, Idaho.",1902,yes,,DeLamar,43.016344,-116.749735,main streets; business enterprises; bands (ensembles),"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-114-1a,Kenneth A. Dick,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities37.jpg,image,/objects/cities37.jpg,/objects/small/cities37_sm.jpg,/objects/thumbs/cities37_th.jpg
cities40,"Moscow Public Library Moscow, Idaho.",1906,,,Moscow,46.733504,-116.998515,libraries (buildings);,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-02c,Rosa Forney Harrison,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities40.jpg,image,/objects/cities40.jpg,/objects/small/cities40_sm.jpg,/objects/thumbs/cities40_th.jpg
cities42,"David's Department Store, 3rd and Main Street. Moscow, Idaho.",1900,,,Moscow,46.732254,-117.001326,department stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-03a,,6x7.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities42.jpg,image,/objects/cities42.jpg,/objects/small/cities42_sm.jpg,/objects/thumbs/cities42_th.jpg
